input file,bits before encode,bits after encode,ratio
../data/text/0.txt,1517,8742,1.388240677
../data/text/1.txt,2619,14089,1.487117609
../data/text/2.txt,1903,9791,1.554897355
../data/text/3.txt,3004,16701,1.438955751
../data/text/4.txt,3573,21824,1.309750733
../data/text/5.txt,28077,158819,1.414289222
../data/text/6.txt,5752,31292,1.4705356
../data/text/7.txt,27304,163974,1.332113628
../data/text/8.txt,3389,21897,1.238160479
../data/text/9.txt,13261,81003,1.309679888
../data/text/10.txt,4649,27224,1.366147517
../data/text/11.txt,4850,27650,1.403254973
../data/text/12.txt,8816,52135,1.352795627
../data/text/13.txt,7374,44004,1.3406054
../data/text/14.txt,16000,101360,1.262825572
../data/text/15.txt,101,334,2.419161677
