input file,bits before encode,bits after encode,ratio
../data/text/0.txt,12136,23824,0.5094022834
../data/text/1.txt,20952,41152,0.5091368585
../data/text/2.txt,15224,21856,0.6965592972
../data/text/3.txt,24032,46896,0.5124530877
../data/text/4.txt,28584,56240,0.5082503556
../data/text/5.txt,224616,438512,0.5122231547
../data/text/6.txt,46016,90016,0.5111980092
../data/text/7.txt,218432,428384,0.5098976619
../data/text/8.txt,27112,52184,0.5195462211
../data/text/9.txt,106088,166952,0.6354401265
../data/text/10.txt,37192,73040,0.5092004381
../data/text/11.txt,38800,75104,0.5166169578
../data/text/12.txt,70528,138320,0.5098901099
../data/text/13.txt,58992,115216,0.5120122205
../data/text/14.txt,128000,249184,0.5136766406
../data/text/15.txt,808,240,3.3666666667
