input file,bits before encode,bits after encode,ratio
../data/text/0.txt,12136,8742,1.3882406772
../data/text/1.txt,20952,14089,1.4871176095
../data/text/2.txt,15224,9791,1.5548973547
../data/text/3.txt,24032,16701,1.4389557512
../data/text/4.txt,28584,21824,1.3097507331
../data/text/5.txt,224616,158819,1.4142892223
../data/text/6.txt,46016,31292,1.4705356002
../data/text/7.txt,218432,163974,1.3321136278
../data/text/8.txt,27112,21897,1.2381604786
../data/text/9.txt,106088,81003,1.3096798884
../data/text/10.txt,37192,27224,1.3661475169
../data/text/11.txt,38800,27650,1.4032549729
../data/text/12.txt,70528,52135,1.3527956267
../data/text/13.txt,58992,44004,1.3406053995
../data/text/14.txt,128000,101360,1.2628255722
../data/text/15.txt,808,334,2.4191616767
